[
["_Start", 8],
["Conference", 100],
["Assistant Professor", 101],
["Journal", 1],
["Conference", 102],
["Assistant Professor", 103],
["Journal", 1],
["Conference", 104],
["Assistant Professor", 105],
["Journal", 1],
["Conference", 106],
["Assistant Professor", 107],
["Journal", 1],
["Conference", 108],
["Assistant Professor", 109],
["Journal", 1],
["Conference", 110],
["Assistant Professor", 111],
["Journal", 1],
["Conference", 112],
["Assistant Professor", 113],
["Journal", 1],
["Conference", 114],
["Assistant Professor", 115],
["Journal", 1],
["Conference", 116],
["Assistant Professor", 117],
["Journal", 1],
["Conference", 118],
["Assistant Professor", 119],
["Journal", 1],
["Conference", 120],
["Assistant Professor", 121],
["Journal", 1],
["Conference", 122],
["Assistant Professor", 123],
["Journal", 1],
["Conference", 124],
["Assistant Professor", 125],
["Journal", 1],
["Conference", 126],
["Assistant Professor", 127],
["Journal", 1],
["Conference", 128],
["Assistant Professor", 129],
["Journal", 1],
["Conference", 130],
["Assistant Professor", 131],
["Journal", 1],
["Conference", 132],
["Assistant Professor", 133],
["Journal", 1],
["Conference", 134],
["Assistant Professor", 135],
["Journal", 1],
["Conference", 136],
["Assistant Professor", 137],
["Journal", 1],
["Conference", 138],
["Assistant Professor", 139],
["Journal", 1],
["Conference", 140],
["Assistant Professor", 141],
["Journal", 1],
["Conference", 142],
["Assistant Professor", 143],
["Journal", 1],
["Conference", 144],
["Assistant Professor", 145],
["Journal", 1],
["Conference", 146],
["Assistant Professor", 147],
["Journal", 1],
["Conference", 148],
["Assistant Professor", 149],
["Journal", 1],
["Conference", 150],
["Assistant Professor", 151],
["Journal", 1],
["Conference", 152],
["Assistant Professor", 153],
["Journal", 1],
["Conference", 154],
["Assistant Professor", 155],
["Journal", 1],
["Conference", 156],
["Assistant Professor", 157],
["Journal", 1],
["Conference", 158],
["Assistant Professor", 159],
["Journal", 1],
["Conference", 160],
["Assistant Professor", 161],
["Journal", 1],
["Conference", 162],
["Assistant Professor", 163],
["Journal", 1],
["Conference", 164],
["Assistant Professor", 165],
["Journal", 1],
["Conference", 166],
["Assistant Professor", 167],
["Journal", 1],
["Conference", 168],
["Assistant Professor", 169],
["Journal", 1],
["Conference", 170],
["Assistant Professor", 171],
["Journal", 1],
["Conference", 172],
["Assistant Professor", 173],
["Journal", 1],
["Conference", 174],
["Assistant Professor", 175],
["Journal", 1],
["Conference", 176],
["Assistant Professor", 177],
["Journal", 1],
["Conference", 178],
["Assistant Professor", 179],
["Journal", 1],
["Conference", 180],
["Assistant Professor", 181],
["Journal", 1],
["Conference", 182],
["Assistant Professor", 183],
["Journal", 1],
["Conference", 184],
["Assistant Professor", 185],
["Journal", 1],
["Conference", 186],
["Assistant Professor", 187],
["Journal", 1],
["Conference", 188],
["Assistant Professor", 189],
["Journal
