index,question_id,dataset,true_answer,llm_answer,is_correct,reasoning_length,process_time_seconds
137,q_137,UMDvsUNC,34,34,True,317,6.978631
138,q_138,UMDvsUNC,69,69,True,279,6.058256
139,q_139,UMDvsUNC,35,14,False,387,8.105422
140,q_140,UMDvsUNC,14,14,True,373,9.134937
141,q_141,UMDvsUNC,15,15,True,377,8.39551
142,q_142,UMDvsUNC,15,15,True,444,9.193554
143,q_143,UMDvsUNC,indeterminate,indeterminate,True,374,5.622845
144,q_144,UMDvsUNC,indeterminate,indeterminate,True,770,7.755044
145,q_145,UMDvsUNC,34,34,True,405,8.623616
146,q_146,UMDvsUNC,69,69,True,267,7.909259
147,q_147,UMDvsUNC,35,35,True,463,8.348795
148,q_148,UMDvsUNC,indeterminate,34,False,381,8.962913
149,q_149,UMDvsUNC,indeterminate,indeterminate,True,446,9.963296
150,q_150,UMDvsUNC,indeterminate,35,False,499,10.634698
151,q_151,UMDvsUNC,indeterminate,indeterminate,True,441,5.676556
152,q_152,UMDvsUNC,indeterminate,indeterminate,True,367,10.96425
153,q_153,UMDvsUNC,34,34,True,366,8.260158
154,q_154,UMDvsUNC,69,69,True,383,7.150223
155,q_155,UMDvsUNC,35,35,True,382,7.819668
156,q_156,UMDvsUNC,indeterminate,34,False,446,12.453717
157,q_157,UMDvsUNC,indeterminate,0,False,404,6.99572
158,q_158,UMDvsUNC,indeterminate,35,False,474,9.058811
159,q_159,UMDvsUNC,indeterminate,indeterminate,True,480,6.231629
160,q_160,UMDvsUNC,indeterminate,indeterminate,True,457,8.847309
161,q_161,UMDvsUNC,34,27,False,456,7.877663
162,q_162,UMDvsUNC,60,27,False,236,6.849679
163,q_163,UMDvsUNC,23,27,False,18,9.890538
164,q_164,UMDvsUNC,24,19,False,357,8.03846
165,q_165,UMDvsUNC,53,42,False,337,8.066443
166,q_166,UMDvsUNC,8,9,False,488,9.958073
167,q_167,UMDvsUNC,4,4,True,797,12.416657
168,q_168,UMDvsUNC,34,9,False,328,13.960004
169,q_169,UMDvsUNC,69,24,False,365,7.618491
170,q_170,UMDvsUNC,22,22,True,479,9.015094
171,q_171,UMDvsUNC,24,24,True,493,8.847409
172,q_172,UMDvsUNC,49,36,False,248,7.758126
173,q_173,UMDvsUNC,8,8,True,521,9.318001
174,q_174,UMDvsUNC,indeterminate,indeterminate,True,384,5.505063
175,q_175,UMDvsUNC,34,34,True,389,8.473508
176,q_176,UMDvsUNC,69,23,False,383,7.002272
177,q_177,UMDvsUNC,22,22,True,456,8.743288
178,q_178,UMDvsUNC,24,24,True,391,7.572724
179,q_179,UMDvsUNC,49,49,True,333,7.884697
180,q_180,UMDvsUNC,indeterminate,indeterminate,True,461,5.450896
181,q_181,UMDvsUNC,indeterminate,indeterminate,True,1109,10.374842
182,q_182,UMDvsUNC,34,34,True,374,8.489942
183,q_183,UMDvsUNC,69,23,False,401,7.497647
184,q_184,UMDvsUNC,22,22,True,18,11.925546
185,q_185,UMDvsUNC,24,24,True,375,9.974641
186,q_186,UMDvsUNC,49,49,True,305,8.59593
187,q_187,UMDvsUNC,indeterminate,indeterminate,True,738,8.940518
188,q_188,UMDvsUNC,indeterminate,0,False,511,6.272533
189,q_189,UMDvsUNC,34,34,True,396,8.113577
190,q_190,UMDvsUNC,69,46,False,18,8.178694
191,q_191,UMDvsUNC,22,22,True,520,8.975678
192,q_192,UMDvsUNC,24,24,True,433,7.566854
193,q_193,UMDvsUNC,34,34,True,440,7.245882
194,q_194,UMDvsUNC,indeterminate,0,False,525,6.171341
195,q_195,UMDvsUNC,indeterminate,indeterminate,True,428,8.187214
196,q_196,UMDvsUNC,34,34,True,334,7.609665
197,q_197,UMDvsUNC,69,46,False,375,10.868868
198,q_198,UMDvsUNC,22,22,True,391,7.144976
199,q_199,UMDvsUNC,24,24,True,440,7.651787
200,q_200,UMDvsUNC,34,34,True,344,7.065984
201,q_201,UMDvsUNC,indeterminate,indeterminate,True,733,7.27021
202,q_202,UMDvsUNC,indeterminate,indeterminate,True,606,7.201185
203,q_203,UMDvsUNC,1,1,True,332,7.658718
204,q_204,UMDvsUNC,21,21,True,436,10.564279
205,q_205,UMDvsUNC,33,33,True,461,10.216646
206,q_206,UMDvsUNC,28,35,False,473,9.448992
207,q_207,UMDvsUNC,42,42,True,557,11.349875
208,q_208,UMDvsUNC,indeterminate,21,False,564,10.676352
209,q_209,UMDvsUNC,21,14,False,221,7.70044
210,q_210,UMDvsUNC,1,1,True,369,8.165388
211,q_211,UMDvsUNC,21,7,False,748,12.166597
212,q_212,UMDvsUNC,50,55,False,429,9.225949
213,q_213,UMDvsUNC,27,27,True,468,9.015945
214,q_214,UMDvsUNC,34,28,False,346,8.390938
215,q_215,UMDvsUNC,indeterminate,8,False,329,7.634493
216,q_216,UMDvsUNC,16,23,False,919,15.788694
217,q_217,UMDvsUNC,1,1,True,337,7.382231
218,q_218,UMDvsUNC,25,27,False,349,10.151291
219,q_219,UMDvsUNC,43,43,True,304,8.236243
220,q_220,UMDvsUNC,31,31,True,299,7.627828
221,q_221,UMDvsUNC,39,40,False,424,10.072033
222,q_222,UMDvsUNC,indeterminate,0,False,564,16.594777
223,q_223,UMDvsUNC,22,2,False,343,8.050656
224,q_224,UMDvsUNC,1,1,True,312,7.50909
225,q_225,UMDvsUNC,19,21,False,424,11.862164
226,q_226,UMDvsUNC,34,34,True,306,8.370217
227,q_227,UMDvsUNC,35,37,False,350,8.459838
228,q_228,UMDvsUNC,39,37,False,415,7.912613
229,q_229,UMDvsUNC,indeterminate,indeterminate,True,451,6.656808
230,q_230,UMDvsUNC,28,28,True,740,11.438524
231,q_231,UMDvsUNC,1,1,True,329,8.336287
232,q_232,UMDvsUNC,19,21,False,434,9.632449
233,q_233,UMDvsUNC,34,34,True,257,9.69496
234,q_234,UMDvsUNC,30,13,False,387,8.704747
235,q_235,UMDvsUNC,40,38,False,241,7.612658
236,q_236,UMDvsUNC,3,14,False,382,8.240544
237,q_237,UMDvsUNC,22,2,False,574,10.438007
238,q_238,UMDvsUNC,1,0,False,258,7.529165
239,q_239,UMDvsUNC,23,23,True,894,14.822274
240,q_240,UMDvsUNC,40,41,False,295,7.982367
241,q_241,UMDvsUNC,29,33,False,359,8.042609
242,q_242,UMDvsUNC,43,42,False,468,9.70158
243,q_243,UMDvsUNC,indeterminate,6,False,878,12.977367
244,q_244,UMDvsUNC,19,2,False,913,14.006338
